"customerid","subscription_start_date","subscription_type","renewal_date","plan_type","contract_type","cancellation_date","cancellation_reason","monthly_charges","cltv","churn_score"
"0002-ORFBO","2021-03-15",Refferal,"2025-03-15",Standard,Annual,,,13.99,627,12
"0003-MKNFE","2020-08-01",Paid,"2024-08-01",Premium,Annual,"2024-09-10",Switched to competitor,12.99,1150,91
"0004-TLHLJ","2022-11-20",Organic,"2025-11-20",Basic,Monthly,,,6.99,210,34
"0011-IGKFF","2019-05-10",Paid,"2025-05-10",Premium,Annual,,,22.99,1725,8
"0013-EXCHZ","2023-01-05",Refferal,"2024-01-05",Standard,Monthly,"2024-02-28",Too expensive,13.99,195,88
"0013-MHZWF","2022-06-18",Paid,"2025-06-18",Standard,Annual,,,17.99,720,22
"0013-SMEOE","2021-09-30",Refferal,"2024-09-30",Basic,Monthly,"2024-11-15",Not enough content,8.99,230,79
"0014-BMAQU","2020-02-14",Organic,"2025-02-14",Premium,Annual,,,22.99,1840,5
"0015-UOCOJ","2023-07-22",Organic,"2024-07-22",Standard,Monthly,,,13.99,240,34
"0016-QLJIS","2022-04-03",Organic,"2025-04-03",Basic,Annual,,,6.99,335,41
"0017-DINOC","2021-12-01",Organic,"2025-12-01",Premium,Annual,,,22.99,1610,14
"0017-IUDMW","2023-03-17",Refferal,"2024-03-17",Standard,Monthly,"2024-05-01",Poor streaming quality,7.99,270,83
"0018-NYROU","2020-10-09",Organic,"2025-10-09",Standard,Annual,,,13.99,980,19
"0019-EFAEP","2022-08-25",Refferal,"2024-08-25",Basic,Monthly,"2024-10-31",Switched to competitor,12.99,160,76
"0019-GFNTW","2019-11-11",Paid,"2025-11-11",Premium,Annual,,,92.99,2185,3
"0020-INWCK","2023-05-06",Organic,"2025-05-06",Standard,Monthly,,,13.99,640,58
"0020-JDNXP","2022-01-19",Organic,"2024-01-19",Premium,Annual,,,20.99,550,62
"0021-IKXGC","2021-07-07",Paid,"2025-07-07",Standard,Annual,,,13.99,840,27
"0022-TCJCI","2023-09-14",Refferal,"2024-09-14",Basic,Monthly,"2024-09-14",Forgot to cancel trial,16.99,42,99
"0023-HGHWL","2020-06-23",Organic,"2025-06-23",Premium,Annual,,,22.99,1955,7
"0023-UYUPN","2022-12-31",Paid,"2025-12-31",Standard,Monthly,,,13.99,790,47
